time_local,Actual,LinReg,XGBoost,LinReg_norm,XGB_norm
2026-06-05 11:00:00,20815,17756.944298201946,18747.61,18919.294321878868,20298.74897545576
2026-06-05 12:00:00,21456,19141.67072148012,19294.26,19966.902672282245,20790.025286912918
2026-06-05 13:00:00,21487,19874.190717192236,19453.455,20471.311069624808,20894.702916920185
2026-06-05 14:00:00,21713,19989.604337047967,19541.986,20542.582153314266,20918.946491122246
2026-06-05 15:00:00,21276,19742.043367233586,19420.236,20433.33903110096,21207.581288695335
2026-06-05 16:00:00,19961,19125.957805266047,19296.629,20060.896257193952,21133.69866579771
2026-06-05 17:00:00,18153,17904.97514808448,18459.94,19154.593681470236,20709.050623357296
2026-06-05 18:00:00,16498,15924.11414292521,17745.365,17431.465612958284,19093.3874207139
2026-06-05 19:00:00,11065,12957.23197194597,15618.14,14528.461959491098,17192.501925110817
2026-06-05 20:00:00,2195,7394.5589794989155,9964.657,8001.73092638293,10957.306880325079
2026-06-05 21:00:00,-49,1975.638336451414,1885.4547,1117.9450194716012,2057.1348797380924
2026-06-05 22:00:00,-64,1472.8496489333602,424.53528,884.3068909936445,416.46664607711136
2026-06-05 23:00:00,-60,1095.2449899082103,152.42668,655.428817110552,149.75522922398522
2026-06-06 00:00:00,-60,784.5640405019694,47.042164,467.83862821736255,15.162411688477732
2026-06-06 01:00:00,-60,636.0330624826338,62.265865,352.0568847993458,4.1472935668425635
2026-06-06 02:00:00,-60,445.44097861408227,1.3643917,265.08303479591336,15.931276243471075
2026-06-06 03:00:00,-60,314.7865896033263,44.624866,160.91264071563097,30.4547930926783
2026-06-06 04:00:00,-60,189.11893461962882,14.028667,47.704737170664544,4.497085874027107
2026-06-06 05:00:00,-61,298.79500154740526,146.90042,179.28139446261181,168.0323096588254
2026-06-06 06:00:00,80,234.212137097099,1395.4205,249.33063803594703,1384.3668600320816
2026-06-06 07:00:00,4328,3921.2199532713303,3394.7297,4806.6400467967915,3839.7028714567423
2026-06-06 08:00:00,12965,8739.383801601987,6346.2104,10158.140778448836,6682.368628323078
2026-06-06 09:00:00,16510,12188.145621415137,13152.586,13677.388288088741,14334.3519449234
2026-06-06 10:00:00,17514,15634.460127821505,16490.633,17093.145341622647,16963.83400952816
2026-06-06 11:00:00,18807,18067.498587651982,18487.533,19361.1254242905,19197.34249508381
2026-06-06 12:00:00,17127,19617.049718761507,19410.764,20827.546969415,19891.18570870161
2026-06-06 13:00:00,17419,19941.437981316747,19729.729,21039.080422642804,20289.408111274242
2026-06-06 14:00:00,17522,20350.07488269794,19886.12,21214.10717517779,20770.908977985382
2026-06-06 15:00:00,17657,19556.34123363316,19286.71,20523.772784164394,20382.829842865467
2026-06-06 16:00:00,15555,18594.135069022504,18911.062,19984.25241777714,20184.070756554604
2026-06-06 17:00:00,14243,17392.636202651905,17980.07,19127.388134178724,19366.272599756718
2026-06-06 18:00:00,14116,15443.980120854765,17854.373,17317.85688981282,18446.69227141142
2026-06-06 19:00:00,9462,12447.684086829397,15335.359,14453.399514125555,16765.224146664143
2026-06-06 20:00:00,2070,6977.302606085701,10082.659,8152.514583233314,10961.20828807354
2026-06-06 21:00:00,-20,1208.3847001256527,1559.5261,1086.1980626631794,1770.8377525433898
2026-06-06 22:00:00,-55,905.4864958759135,220.12527,874.21026412647,306.4509849483147
2026-06-06 23:00:00,-50,437.25383841349685,121.406784,527.4558862701974,65.12232096260414
2026-06-07 00:00:00,-49,147.56886720346893,6.562343,318.4905538100937,0.0
2026-06-07 01:00:00,-50,77.297514989933,0.0,259.66218789170034,0.0
2026-06-07 02:00:00,-50,99.68772494572113,0.0,191.91819340303718,0.0
2026-06-07 03:00:00,-50,150.90343374666963,4.7392173,224.52003982776534,45.44847450009547
2026-06-07 04:00:00,-51,135.6014712805404,24.222162,172.85739536301324,88.68654601462185
2026-06-07 05:00:00,-51,0.0,0.0,55.88700339299253,39.468167439918034
2026-06-07 06:00:00,41,0.0,683.39056,15.884715403354623,694.4441161490977
2026-06-07 07:00:00,4454,5358.916196935208,2334.7974,7014.947538556566,2400.1410072892904
2026-06-07 08:00:00,11898,9800.69551732883,9398.615,11968.264715191232,11067.810115158558
